初始化类别中心1:
488	8	1.64	
类别1:
房事	473	40	8.46	
高中	476	24	5.04	
贴钻画	476	18	3.78	
衬衣	484	15	3.1	
双碟刹	494	15	3.04	
整套	485	14	2.89	
透肉	479	12	2.51	
水滴	490	12	2.45	
冰糯种	478	12	2.51	
瘦身	488	11	2.25	
全套装	479	11	2.3	
手链表	490	10	2.04	
幸福	485	10	2.06	
女人我最大	486	9	1.85	
平光	487	8	1.64	
小外套	483	8	1.66	
夏装新	483	8	1.66	
卷筒纸	488	8	1.64	
公斤	485	8	1.65	
浙江	482	7	1.45	
提拉	490	7	1.43	
磁疗	483	6	1.24	
洛克	486	5	1.03	
春纪	489	5	1.02	
2岁	486	4	0.82	
模板	487	3	0.62	
superstar	488	3	0.61	
紫秀	487	2	0.41	
初始化类别中心2:
554	3	0.54	
类别2:
年抛	546	26	4.76	
外壳	550	26	4.73	
厂家	547	25	4.57	
超显瘦	550	24	4.36	
九分裤	539	24	4.45	
电动车	538	19	3.53	
口交	569	19	3.34	
压发	557	19	3.41	
钢带	543	17	3.13	
全身贴	569	17	2.99	
模具	555	16	2.88	
驾驶	567	15	2.65	
迪士尼米奇	557	15	2.69	
原料	565	15	2.65	
电信	564	14	2.48	
亲子装	544	14	2.57	
魔声	546	13	2.38	
座套	561	13	2.32	
蔻姿	536	12	2.24	
海昌	541	12	2.22	
兰博基尼	569	12	2.11	
中年人	547	12	2.19	
燃气	561	11	1.96	
护颈椎	541	11	2.03	
孕妇装	545	11	2.02	
压床	549	11	2	
刺青	574	11	1.92	
邪恶	557	10	1.8	
耐高温	564	10	1.77	
神器	547	10	1.83	
皮肤	571	10	1.75	
照片	556	10	1.8	
墙上	535	10	1.87	
厕所	562	10	1.78	
专辑	542	10	1.85	
mi2sc	554	10	1.81	
胸贴	563	9	1.6	
肉色	560	9	1.61	
绘本	533	9	1.69	
纯牛皮	558	9	1.61	
福禄寿	565	9	1.59	
本子	539	9	1.67	
披萨	543	9	1.66	
军迷	532	9	1.69	
mi2a	571	9	1.58	
美味	556	8	1.44	
旗袍	558	8	1.43	
微波	544	8	1.47	
加档	560	8	1.43	
儿童摄影	538	8	1.49	
韩单	563	7	1.24	
防雨	571	7	1.23	
草舍名院	548	7	1.28	
苍井空	552	7	1.27	
直送	574	7	1.22	
生日	572	7	1.22	
独家	534	7	1.31	
爬爬垫	558	7	1.25	
往复式	549	7	1.28	
床垫	542	7	1.29	
小熊维尼	541	7	1.29	
吊带衫	568	7	1.23	
全蕾丝	575	7	1.22	
bape	563	7	1.24	
13寸	566	7	1.24	
魔法	576	6	1.04	
苏菲	554	6	1.08	
维多利亚	556	6	1.08	
漱口杯	540	6	1.11	
杀菌	535	6	1.12	
晾晒	573	6	1.05	
家装	549	6	1.09	
威古氏	562	6	1.07	
奶瓶	542	6	1.11	
天时达	547	6	1.1	
原液	552	6	1.09	
内蒙古	560	6	1.07	
书橱	539	6	1.11	
鸭脖	548	5	0.91	
配饰品	575	5	0.87	
配套	531	5	0.94	
迪孚	531	5	0.94	
老婆	548	5	0.91	
翡翠	564	5	0.89	
紧实	577	5	0.87	
火影忍者	559	5	0.89	
水溶性	565	5	0.88	
拓步	551	5	0.91	
千层底	571	5	0.88	
保鲜	570	5	0.88	
保湿乳液	572	5	0.87	
zara	559	5	0.89	
t恤	558	5	0.9	
barbie	554	5	0.9	
西松屋	531	4	0.75	
美庭	559	4	0.72	
睡眠博士	534	4	0.75	
盖尔斯	559	4	0.72	
湖北	575	4	0.7	
水杯子	535	4	0.75	
水库	547	4	0.73	
欧普瑞斯	550	4	0.73	
无添加	577	4	0.69	
数据线	539	4	0.74	
净化	568	4	0.7	
全包围	555	4	0.72	
佛头	556	4	0.72	
s890	541	4	0.74	
s720	573	4	0.7	
r803	543	4	0.74	
hdmi	554	4	0.72	
贝壳美	570	3	0.53	
舞服	533	3	0.56	
美肌	555	3	0.54	
眉毛	574	3	0.52	
爬行毯	546	3	0.55	
斯泊恩	574	3	0.52	
小象	570	3	0.53	
小憨豆	559	3	0.54	
寸衫	532	3	0.56	
好巴食	554	3	0.54	
口水娃	560	3	0.54	
卫生	558	3	0.54	
单双人	570	3	0.53	
五件套	559	3	0.54	
丝蓓绮	574	3	0.52	
mi2c	554	3	0.54	
黑金刚	556	2	0.36	
高柏诗	565	2	0.35	
雅皮氏	553	2	0.36	
软硬	554	2	0.36	
蝙蝠	543	2	0.37	
芭黎依橱	557	2	0.36	
胡婆婆	558	2	0.36	
翻毛皮	565	2	0.35	
珊瑚绒	532	2	0.38	
滑板鞋	532	2	0.38	
淇淇	580	2	0.34	
杰米熊	536	2	0.37	
无暇	548	2	0.36	
指环	578	2	0.35	
护手霜	532	2	0.38	
忆捷	538	2	0.37	
康宝	573	2	0.35	
小艾	554	2	0.36	
多乐士	532	2	0.38	
地毯	548	2	0.36	
周柏豪	540	2	0.37	
华美	543	2	0.37	
世家	555	2	0.36	
oshadhi	541	2	0.37	
marlliss	569	2	0.35	
heynature	541	2	0.37	
马来西亚	580	1	0.17	
豆腐干	577	1	0.17	
蓝色妖姬	539	1	0.19	
舒肤佳	533	1	0.19	
联华	542	1	0.18	
耶妮娅	568	1	0.18	
耳坠	536	1	0.19	
美颜	552	1	0.18	
男女鞋	571	1	0.18	
牛奶味	555	1	0.18	
爵士	537	1	0.19	
满师傅	561	1	0.18	
斜挎包	571	1	0.18	
必列奇	534	1	0.19	
小米米	534	1	0.19	
奕香	539	1	0.19	
大口径	558	1	0.18	
唇彩	540	1	0.19	
咀香园	536	1	0.19	
博士	577	1	0.17	
冻膜	540	1	0.19	
两件套	559	1	0.18	
一级	563	1	0.18	
rusuoo	545	1	0.18	
okbaby	572	1	0.17	
moncler	578	1	0.17	
fs40	534	1	0.19	
cherrykoko	548	1	0.18	
ascend	547	1	0.18	
aing	534	1	0.19	
a199	553	1	0.18	
9082	540	1	0.19	
600d	572	1	0.17	
350ml	575	1	0.17	
初始化类别中心3:
273	1	0.37	
类别3:
超可爱	285	8	2.81	
坚挺	282	7	2.48	
透明伞	285	6	2.11	
至尊	285	6	2.11	
洗碗	285	6	2.11	
护士	285	6	2.11	
咖啡厅	285	6	2.11	
冬盔	285	6	2.11	
32cm	280	6	2.14	
防霉	281	5	1.78	
玩沙	284	5	1.76	
教育	284	5	1.76	
拉拉	284	5	1.76	
宽带	277	5	1.81	
单只	285	5	1.75	
冷热风	282	5	1.77	
全高清	283	5	1.77	
